Title,Year,Duration,Ratting,link,,,,,,,,,,
The Shawshank Redemption ,1994,2h 22min,9.3,https://www.imdb.com/title/tt0111161/,,,,,,,,,,
It's a Wonderful Life ,1946,2h 10min,8.6,https://www.imdb.com/title/tt0038650/,,,,,,,,,,
The Silence of the Lambs ,1991,1h 58min,8.6,https://www.imdb.com/title/tt0102926/,,,,,,,,,,
Whiplash ,2014,1h 46min,8.5,https://www.imdb.com/title/tt2582802/,,,,,,,,,,
Seven Samurai ,1954,3h 27min,8.6,https://www.imdb.com/title/tt0047478/,,,,,,,,,,
Anand ,1971,2h 2min,8.6,https://www.imdb.com/title/tt0066763/,,,,,,,,,,
Life Is Beautiful ,1997,1h 56min,8.6,https://www.imdb.com/title/tt0118799/,,,,,,,,,,
Joker ,2019,2h 2min,8.5,https://www.imdb.com/title/tt7286456/,,,,,,,,,,
Se7en ,1995,2h 7min,8.6,https://www.imdb.com/title/tt0114369/,,,,,,,,,,
Harakiri ,1962,2h 13min,8.7,https://www.imdb.com/title/tt0056058/,,,,,,,,,,
Parasite ,2019,2h 12min,8.6,https://www.imdb.com/title/tt6751668/,,,,,,,,,,
Saving Private Ryan ,1998,2h 49min,8.6,https://www.imdb.com/title/tt0120815/,,,,,,,,,,
The Green Mile ,1999,3h 9min,8.6,https://www.imdb.com/title/tt0120689/,,,,,,,,,,
City of God ,2002,2h 10min,8.6,https://www.imdb.com/title/tt0317248/,,,,,,,,,,
One Flew Over the Cuckoo's Nest ,1975,2h 13min,8.7,https://www.imdb.com/title/tt0073486/,,,,,,,,,,
Oldboy ,2003,2h,8.4,https://www.imdb.com/title/tt0364569/,,,,,,,,,,
The Lives of Others ,2006,2h 17min,8.4,https://www.imdb.com/title/tt0405094/,,,,,,,,,,
Like Stars on Earth ,2007,2h 45min,8.4,https://www.imdb.com/title/tt0986264/,,,,,,,,,,
Interstellar ,2014,2h 49min,8.6,https://www.imdb.com/title/tt0816692/,,,,,,,,,,
3 Idiots ,2009,2h 50min,8.4,https://www.imdb.com/title/tt1187043/,,,,,,,,,,
Dangal ,2016,2h 41min,8.4,https://www.imdb.com/title/tt5074352/,,,,,,,,,,
Avengers: Endgame ,2019,3h 1min,8.4,https://www.imdb.com/title/tt4154796/,,,,,,,,,,
Django Unchained ,2012,2h 45min,8.4,https://www.imdb.com/title/tt1853728/,,,,,,,,,,
City Lights ,1931,1h 27min,8.5,https://www.imdb.com/title/tt0021749/,,,,,,,,,,
Your Name. ,2016,1h 46min,8.4,https://www.imdb.com/title/tt5311514/,,,,,,,,,,
Capernaum ,2018,2h 6min,8.4,https://www.imdb.com/title/tt8267604/,,,,,,,,,,
Casablanca ,1942,1h 42min,8.5,https://www.imdb.com/title/tt0034583/,,,,,,,,,,
Cinema Paradiso ,1988,2h 35min,8.5,https://www.imdb.com/title/tt0095765/,,,,,,,,,,
Modern Times ,1936,1h 27min,8.5,https://www.imdb.com/title/tt0027977/,,,,,,,,,,
Grave of the Fireflies ,1988,1h 29min,8.5,https://www.imdb.com/title/tt0095327/,,,,,,,,,,
Downfall ,2004,2h 36min,8.2,https://www.imdb.com/title/tt0363163/,,,,,,,,,,
The Lion King ,1994,1h 28min,8.5,https://www.imdb.com/title/tt0110357/,,,,,,,,,,
Rang De Basanti ,2006,2h 47min,8.2,https://www.imdb.com/title/tt0405508/,,,,,,,,,,
